1,Eggs,Dairi,
2,English Muffin,Isles,6
3,Fat Free Shredded Cheese,Deli,
4,Tomatoes,Vegetables,
5,Brown rice,Isles,7
6,Carrots,Vegetables,
7,Chicken breast,Meats,
8,Snow Peas,Vegetables,
9,Teriyaki Sauce,Isles,6
10,Fat Free Vinagrete Dressing,Isles,6
11,Cherry or grape tomatoes,Vegetables,
12,Lettuce,Vegetables,
13,Mushrooms,Vegetables,
14,Radishes,Vegetables,
15,Red Peppers,Vegetables,
16,Sweet Potatos,Vegetables,
17,Lentils,Isles,7
18,Red Onions,Vegetables,
19,Whole wheat cuscus,Isles,7
20,Arugula,Vegetables,
21,Can diced tomatoes,Isles,8
22,Eggplant,Vegetables,
23,Fat Free Shreded Mozzarella Cheese,Deli,
24,Olive oil,Isles,9
25,Vinegar,Isles,6
26,Whole wheat spaggetti,Isles,7
27,Yellow Peppers,Vegetables,
28,Blueberries,Vegetables,
29,Cinamon Grounded,Isles,9
30,Fat Free Riccotta cheese,Deli,
31,Sugar Substitute,Isles,9
32,Whole wheat bread,Isles,6
33,Canned chickpeas,Isles,8
34,Cucumber,Vegetables,
35,Fat-free feta cheese,Deli,
36,Fat Free Plain Greek Yougurt,Dairi,
37,Celeri,Vegetables,
38,Garlic,Vegetables,
39,Onion,Vegetables,
40,Chicken broth or vegetable broth,Isles,7
41,Apple,Vegetables,
42,Basil,Vegetables,
43,Fat Free Italian Dressing,Isles,6
44,Oregano,Vegetables,
45,Parsley,Vegetables,
46,Whole wheat penne pasta,Isles,7
47,Canned Tomato Sauce,Isles,8
48,Cooking spray,Isles,9
49,Lean ground beef (95%),Meats,
50,Reduced Fat Pop Corn (94% fat free) 2 cups,Isles,5
51,Fat-free milk,Dairi,
52,Potatos,Vegetables,
53,Fat-free mayonnaise,Isles,6
54,White tuna in water,Isles,7
55,Mustard,Isles,6
56,Turkey Breast without skin,Deli,
57,Can Soup,Isles,7
58,Edemame,Congeladores Vegetales,17
59,Frozen Fat Free Vegetarian Burger,Vegetables,
60,Quinoa,Isles,7
61,Canned Black Beans,Isles,8
62,Canned Kidney Beans,Isles,8
63,ColeSlaw Mix,Vegetables,
64,Green Peppers,Vegetables,
65,Scallions,Vegetables,
66,Egg whites,Dairi,
67,Spinach,Vegetables,
68,Canadian Bacon,Deli,
69,Fat-free cheddar cheese,Deli,
70,Chives,Vegetables,
71,Strawberries,Vegetables,
72,Vanilla fat free yogurt,Dairi,
73,Granola,Isles,??
74,Banana,Vegetables,
75,Fat free plain yougurt,Dairi,
76,Lemon,Vegetables,
77,Ground Cumin,Isles,9
78,Cayene Pepper,Isles,9
79,Whole wheat tortillas,Bakery,
80,Canned Salmon,Isles,7
81,Dill,Vegetables,
82,Capers,Isles,??
83,Whole wheat baggette,Bakery,
84,Avocado,Vegetables,
85,Zuccini,Vegetables,
86,Balsamic vinegar,Isles,6
87,Mango,Vegetables,
88,Papaya,Vegetables,
89,Jalapeno,Vegetables,
90,Orange Juice,Vegetables,
91,Canola oil,Isles,9
92,Salt,Isles,9
93,Pork Loin Chops (Lean),Meats,
94,Orange,Vegetables,
95,Olives,Isles,6
96,Mixed Baby Salad Greens,Vegetables,
97,Goat cheese,Deli,
98,Raspberries,Vegetables,
99,Fat Reduced Swiss cheese,Deli,
100,Roasted red pepper,Isles,7
101,Black pepper,Isles,9
102,Parmessan Cheese,Deli,
103,Russet Potatoes,Vegetables,
104,Sage (Ground),Isles,9
105,Plain fat-free yougurt,Dairi,
106,Whole wheat pita,Bakery,
107,Whole wheat macaroni,Isles,7
108,Apple cider vinegar,Isles,6
109,Lean turkey ham,Deli,
110,Sweet pickle relish,Isles,??
111,Curry powder,Isles,9
112,Light (reduced-fat) coconut milk,Isles,10
113,Tomato paste,Isles,7
114,Skinless boneless chicken breast,Meats,
115,Baby spinach,Vegetables,
116,Frozen peas,Congeladores Vegetales,18
117,Ground skinless turkey breast,Meats,
118,Dried oregano,Isles,9
119,Baby salad greens,Vegetables,
120,Fresh fettuccine,Isles,7
121,Baby arugula,Vegetables,
122,Whole wheat penne,Bakery,
123,Dijon mustard,Isles,6
124,Maple syrup,Isles,??
125,Skinless chicken breast,Meats,
126,Bag baby arugula,Vegetables,
127,Granny Smith apple,Vegetables,
128,Shallot,Vegetables,
129,Pecans,Isles,??
130,Lean beef top round steak,Meats,
131,Ginger,Vegetables,
132,Asparagus,Vegetables,
133,Water chestnuts,Isles,8
134,Chicken broth,Isles,7
135,Reduced-sodium soy sauce,Isles,??
136,Jalapeno peppers,Isles,??
137,Can fire-roasted diced tomatoes,Isles,8
138,Zucchini,Vegetables,
139,Dried thyme,Isles,9
140,Chopped fresh parsley,Vegetables,
141,Grated Parmesan,Deli,
142,Green Pepper,Vegetables,
143,Scallion,Vegetables,
144,Chili powder,Isles,9
145,Corn tortillas,Bakery,
146,Fat-free salsa,Isles,??
147,Corn tortillas,Isles,6
148,Romaine lettuce,Vegetables,
149,Turkey breast or chicken,Deli,
150,Fat-free ranch,Isles,6
151,Basil pesto,Isles,??
152,Turkey bacon,Meats,
153,Chipotle en adobo,Isles,10
154,Onion powder,Isles,9
155,T-bone steaks,Meats,
156,Frozen Pack Cauliflower,Congeladores Vegetales,18
157,Butter,Dairi,
158,Filets mignons,Meats,
159,Parsley,Isles,9
160,Rosemary,Isles,9
161,Corn kernel,Isles,??
162,Green chiles,Isles,10
163,Thyme,Isles,9
164,Hot pepper sauce,Isles,??
165,Ham,Deli,
166,Pineapple chunks,Isles,??
167,Macadamia nuts or almonds,Isles,??
168,Lean flank steak,Meats,
169,Taco sauce,Isles,??
